Property Key,Property Code,Property Name,City,Market,Property Manager
101,PROP-01,Data Center 1,Chennai,India South,Vikram Iyer
102,PROP-02,Data Center 2,Pune,India West,Arjun Rao
103,PROP-03,Data Center 3,Kolkata,India South,Vikram Iyer
104,PROP-04,Data Center 4,Delhi,India East,Neha Sharma
105,PROP-05,Data Center 5,Pune,India West,Arjun Rao
106,PROP-06,Data Center 6,Chennai,India East,Anita Verma
107,PROP-07,Data Center 7,Bangalore,India West,Arjun Rao
108,PROP-08,Data Center 8,Mumbai,India West,Anita Verma
109,PROP-09,Data Center 9,Pune,India South,Arjun Rao
110,PROP-10,Data Center 10,Pune,India East,Neha Sharma
111,PROP-11,Data Center 11,Kolkata,India South,Sneha Kapoor
112,PROP-12,Data Center 12,Chennai,India West,Arjun Rao
113,PROP-13,Data Center 13,Mumbai,India West,Rahul Mehta
114,PROP-14,Data Center 14,Kolkata,India East,Rahul Mehta
115,PROP-15,Data Center 15,Pune,India East,Vikram Iyer
116,PROP-16,Data Center 16,Bangalore,India South,Sneha Kapoor
117,PROP-17,Data Center 17,Bangalore,India North,Anita Verma
118,PROP-18,Data Center 18,Bangalore,India East,Neha Sharma
119,PROP-19,Data Center 19,Bangalore,India East,Arjun Rao
120,PROP-20,Data Center 20,Mumbai,India West,Anita Verma
121,PROP-21,Data Center 21,Chennai,India North,Vikram Iyer
122,PROP-22,Data Center 22,Mumbai,India East,Neha Sharma
123,PROP-23,Data Center 23,Kolkata,India South,Neha Sharma
124,PROP-24,Data Center 24,Chennai,India East,Anita Verma
125,PROP-25,Data Center 25,Bangalore,India East,Sneha Kapoor
